"","pid","ms_subclass","lot_area","overall_qual","overall_cond","year_built","year_remod/add","mas_vnr_area","bsmtfin_sf_1","bsmtfin_sf_2","bsmt_unf_sf","total_bsmt_sf","1st_flr_sf","2nd_flr_sf","low_qual_fin_sf","gr_liv_area","bsmt_full_bath","bsmt_half_bath","full_bath","half_bath","bedroom_abvgr","kitchen_abvgr","totrms_abvgrd","fireplaces","garage_yr_blt","garage_cars","garage_area","wood_deck_sf","open_porch_sf","enclosed_porch","3ssn_porch","screen_porch","pool_area","misc_val","mo_sold","yr_sold","saleprice","street_num","lot","zone","land","lot_location","land_sl","roof","roof_m","heat","sale_cond","al","condition1","buliding","build","extertior_qual","extertior","extertior_cond","CA","elec","func","driveway"
"1","0526301100","020",31770,6,5,1960,1960,112,639,0,441,1080,1656,0,0,1656,1,0,1,0,3,1,7,2,1960,2,528,210,62,0,0,0,0,0,5,2010,215000,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"2","0526350040","020",11622,5,6,1961,1961,0,468,144,270,882,896,0,0,896,0,0,1,0,2,1,5,0,1961,1,730,140,0,0,0,120,0,0,6,2010,105000,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"3","0526351010","020",14267,6,6,1958,1958,108,923,0,406,1329,1329,0,0,1329,0,0,1,1,3,1,6,0,1958,1,312,393,36,0,0,0,0,12500,6,2010,172000,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","0526353030","020",11160,7,5,1968,1968,0,1065,0,1045,2110,2110,0,0,2110,1,0,2,1,3,1,8,2,1968,2,522,0,0,0,0,0,0,0,4,2010,244000,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"5","0527105010","060",13830,5,5,1997,1998,0,791,0,137,928,928,701,0,1629,0,0,2,1,3,1,6,1,1997,2,482,212,34,0,0,0,0,0,3,2010,189900,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6","0527105030","060",9978,6,6,1998,1998,20,602,0,324,926,926,678,0,1604,0,0,2,1,3,1,7,1,1998,2,470,360,36,0,0,0,0,0,6,2010,195500,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7","0527127150","120",4920,8,5,2001,2001,0,616,0,722,1338,1338,0,0,1338,1,0,2,0,2,1,6,0,2001,2,582,0,0,170,0,0,0,0,4,2010,213500,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"8","0527145080","120",5005,8,5,1992,1992,0,263,0,1017,1280,1280,0,0,1280,0,0,2,0,2,1,5,0,1992,2,506,0,82,0,0,144,0,0,1,2010,191500,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"9","0527146030","120",5389,8,5,1995,1996,0,1180,0,415,1595,1616,0,0,1616,1,0,2,0,2,1,5,1,1995,2,608,237,152,0,0,0,0,0,3,2010,236500,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"10","0527162130","060",7500,7,5,1999,1999,0,0,0,994,994,1028,776,0,1804,0,0,2,1,3,1,7,1,1999,2,442,140,60,0,0,0,0,0,6,2010,189000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11","0527163010","060",10000,6,5,1993,1994,0,0,0,763,763,763,892,0,1655,0,0,2,1,3,1,7,1,1993,2,440,157,84,0,0,0,0,0,4,2010,175900,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","0527165230","020",7980,6,7,1992,2007,0,935,0,233,1168,1187,0,0,1187,1,0,2,0,3,1,6,0,1992,2,420,483,21,0,0,0,0,500,3,2010,185000,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
